股票,行业,年化均值,年化波动率,偏度,峰度,最大回撤
招商银行,银行,0.04680300929895949,0.27728897792610896,0.26487949045291853,3.1521763048240032,-0.5094386115826541
交通银行,银行,0.09719367375810602,0.16975971338426366,-0.018778227820729725,5.728496683792023,-0.195245833796282
比亚迪,汽车,0.30603241303557743,0.432980438896843,0.3044264773958931,2.0912307042422533,-0.5253686264855646
上汽集团,汽车,-0.061844527675761755,0.31711138630933416,0.3384636553865989,5.2773952085283815,-0.5398648794430021
万科A,房地产,-0.323416971347579,0.3637533457684689,0.6561530276954988,3.271955811019266,-0.8657224452281056
保利发展,房地产,-0.1380113189395039,0.3614000129450188,0.5617375559390705,3.223824318092648,-0.6765481415263372
贵州茅台,白酒,0.06422073570886976,0.27698672989257583,0.26293416703918626,3.6140689339976975,-0.47482138301166066
五粮液,白酒,-0.013560896801277592,0.3454111684338757,0.08796073013391983,3.3161611501561143,-0.6609386619142888
隆基绿能,能源,0.04164777172411668,0.4469333168763197,0.21525208957565473,1.6553642586034547,-0.8169095583586142
中国石化,能源,0.08603458701820704,0.2334531734365868,0.3550146932654949,5.367612460686785,-0.250639386189258
